away_team,home_team,moneyline
Lions,Chiefs,Chiefs -275
Panthers,Falcons,Falcons -175
Texans,Ravens,Ravens -500
Bengals,Browns,Bengals -125
Jaguars,Colts,Jaguars -200
Buccaneers,Vikings,Vikings -275
Titans,Saints,Saints -185
49ers,Steelers,49ers -145
Cardinals,Commanders,Commanders -300
Packers,Bears,Bears -130
Eagles,Patriots,Eagles -210
Raiders,Broncos,Broncos -210
Dolphins,Chargers,Chargers -150
Rams,Seahawks,Seahawks -225
Cowboys,Giants,Cowboys -165
Bills,Jets,Bills -130
Vikings,Eagles,Eagles -298
Seahawks,Lions,Lions -142
Colts,Texans,Texans -115
Raiders,Bills,Bills -355
Bears,Buccaneers,Bears -122
Chargers,Titans,Chargers -166
Ravens,Bengals,Bengals -175
Packers,Falcons,Falcons -125
Chiefs,Jaguars,Chiefs -155
Giants,Cardinals,Giants -205
49ers,Rams,49ers -198
Commanders,Broncos,Broncos -192
Jets,Cowboys,Cowboys -166
Dolphins,Patriots,Dolphins -130
Saints,Panthers,Saints -122
Browns,Steelers,Steelers -115
Texans vs Jaguars,"",Jaguars -298
Saints,Packers,Packers -130
Broncos,Dolphins,Dolphins -218
Colts,Ravens,Ravens -395
Bills,Commanders,Bills -218
Titans,Browns,Browns -218
Patriots,Jets,Patriots -130
Chargers,Vikings,Chargers -120
Falcons,Lions,Lions -230
Panthers,Seahawks,Seahawks -185
Cowboys,Cardinals,Cowboys -500
Bears,Chiefs,Chiefs -575
Steelers,Raiders,Steelers -125
Eagles,Buccaneers,Eagles -340
Rams,Bengals,Bengals -340
Lions,Packers,Packers -122
Falcons,Jaguars,Jaguars -148
Broncos,Bears,Broncos -122
Vikings,Panthers,Vikings -130
Rams,Colts,Rams -120
Buccaneers,Saints,Saints -218
Commanders,Eagles,Eagles -375
Dolphins,Bills,Bills -180
Bengals,Titans,Bengals -118
Ravens,Browns,Ravens -120
Steelers,Texans,Steelers -198
Raiders,Chargers,Chargers -225
Patriots,Cowboys,Cowboys -360
Cardinals,49ers,49ers -950
Chiefs,Jets,Chiefs -360
Seahawks,Giants,Seahawks -115
Jaguars,Bills,Bills -205
Giants,Dolphins,Dolphins -500
Panthers,Lions,Lions -375
Texans,Falcons,Falcons -185
Ravens,Steelers,Ravens -125
Titans,Colts,Colts -118
Saints,Patriots,Patriots -125
Eagles,Rams,Eagles -250
Bengals,Cardinals,Bengals -425
Chiefs,Vikings,Chiefs -285
Jets,Broncos,Broncos -166
Cowboys,49ers,49ers -166
Packers,Raiders,Packers -115
Broncos,Chiefs,Chiefs -575
Ravens,Titans,Ravens -238
49ers,Browns,49ers -148
Lions,Buccaneers,Lions -148
Panthers,Dolphins,Dolphins -575
Vikings,Bears,Vikings -198
Saints,Texans,Saints -115
Colts,Jaguars,Jaguars -258
Seahawks,Bengals,Bengals -148
Commanders,Falcons,Falcons -120
Patriots,Raiders,OTB
Cardinals,Rams,Rams -198
Eagles,Jets,Eagles -270
Giants,Bills,Bills -675
Cowboys,Chargers,Cowboys -148
Jaguars,Saints,Jaguars -110
Bills,Patriots,Bills -360
Lions,Ravens,Ravens -142
Falcons,Buccaneers,Buccaneers -135
Commanders,Giants,Commanders -120
Raiders,Bears,Raiders -115
Browns,Colts,Browns -142
Steelers,Rams,Rams -155
Cardinals,Seahawks,Seahawks -345
Chargers,Chiefs,Chiefs -245
Packers,Broncos,Packers -120
Dolphins,Eagles,Eagles -142
49ers,Vikings,49ers -340
Rams,Cowboys,Cowboys -265
Jets,Giants,Jets -142
Eagles,Commanders,Eagles -325
Falcons,Titans,Falcons -142
Texans,Panthers,Texans -180
Saints,Colts,Saints -115
Vikings,Packers,Vikings -120
Patriots,Dolphins,Dolphins -470
Jaguars,Steelers,Jaguars -142
Browns,Seahawks,Seahawks -180
Chiefs,Broncos,Chiefs -325
Bengals,49ers,49ers -205
Ravens,Cardinals,Ravens -500
Bears,Chargers,Chargers -390
Raiders,Lions,Lions -360
Dolphins,Chiefs,Chiefs -125
Vikings,Falcons,Falcons -205
Cardinals,Browns,Browns -355
Rams,Packers,Packers -166
Commanders,Patriots,Patriots -162
Bears,Saints,Saints -395
Seahawks,Ravens,Ravens -258
Buccaneers,Texans,Texans -148
Colts,Panthers,Panthers +114
Giants,Raiders,Raiders -125
Cowboys,Eagles,Eagles -155
Bills,Bengals,Bengals -130
Chargers,Jets,Jets +150
Colts,Patriots,Patriots +105
Browns,Ravens,Ravens -290
Packers,Steelers,Steelers -175
Titans,Buccaneers,Buccaneers -115
49ers,Jaguars,Jaguars +142
Saints,Vikings,Vikings +124
Texans,Bengals,Bengals -278
Falcons,Cardinals,Cardinals +105
Lions,Chargers,Chargers +124
Giants,Cowboys,Cowboys -1600
Commanders,Seahawks,Seahawks -250
Jets,Raiders,Raiders -110
Broncos,Bills,Bills -345
Bengals,Ravens,Ravens -192
Steelers,Browns,Browns -130
Bears,Lions,Lions -440
Chargers,Packers,Packers +136
Raiders,Dolphins,Dolphins -625
Giants,Commanders,Commanders -485
Cowboys,Panthers,Panthers +425
Titans,Jaguars,Jaguars -298
Cardinals,Texans,Texans -198
Buccaneers,49ers,49ers -575
Jets,Bills,Bills -305
Seahawks,Rams,Rams -105
Vikings,Broncos,Broncos -130
Eagles,Chiefs,Chiefs -155
Patriots,Giants,Giants +150
Panthers,Titans,Titans -180
Jaguars,Texans,Texans +102
Buccaneers,Colts,Colts -142
Saints,Falcons,Falcons +105
Steelers,Bengals,Bengals +102
Browns,Broncos,Broncos -125
Rams,Cardinals,Cardinals +114
Bills,Eagles,Eagles -162
Chiefs,Raiders,Raiders +350
Ravens,Chargers,Chargers +150
Bears,Vikings,Vikings -148
Seahawks,Cowboys,Cowboys -455
Colts,Titans,Titans +114
Chargers,Patriots,Patriots +210
Lions,Saints,Saints +164
Falcons,Jets,Jets +124
Cardinals,Steelers,Steelers -238
Dolphins,Commanders,Commanders +350
Broncos,Texans,Texans -192
Panthers,Buccaneers,Buccaneers -238
Browns,Rams,Rams -175
49ers,Eagles,Eagles +130
Chiefs,Packers,Packers +230
Bengals,Jaguars,Jaguars -380
Buccaneers,Falcons,Falcons -130
Lions,Bears,Bears +142
Colts,Bengals,Bengals -130
Jaguars,Browns,Browns -162
Panthers,Saints,Saints -225
Texans,Jets,Jets +150
Rams,Ravens,Ravens -375
Vikings,Raiders,Raiders +130
Seahawks,49ers,49ers -625
Bills,Chiefs,Chiefs -122
Broncos,Chargers,Chargers -142
Eagles,Cowboys,Cowboys -180
Titans,Dolphins,Dolphins -800
Packers,Giants,Giants +225
Vikings,Bengals,Bengals -170
Steelers,Colts,Colts -125
Broncos,Lions,Lions -220
Falcons,Panthers,Panthers +140
Bears,Browns,Browns -165
Texans,Titans,Titans -200
Chiefs,Patriots,Patriots +320
Giants,Saints,Saints -245
Jets,Dolphins,Dolphins -500
Buccaneers,Packers,Packers -180
49ers,Cardinals,Cardinals +575
Commanders,Rams,Rams -300
Cowboys,Bills,Bills -135
Ravens,Jaguars,Jaguars +145
Eagles,Seahawks,Seahawks +145
Saints,Rams,Rams -200
Bengals,Steelers,Steelers +110
Bills,Chargers,Chargers +590
Colts,Falcons,Falcons +106
Packers,Panthers,Panthers +180
Browns,Texans,Texans -136
Lions,Vikings,Vikings +144
Commanders,Jets,Jets -158
Seahawks,Titans,Titans +116
Jaguars,Buccaneers,Buccaneers -108
Cardinals,Bears,Bears -205
Cowboys,Dolphins,Dolphins -120
Patriots,Broncos,Broncos -275
Raiders,Chiefs,Chiefs -480
Giants,Eagles,Eagles -520
Ravens,49ers,49ers -205
Jets,Browns,Browns -255
Lions,Cowboys,Cowboys -235
Dolphins,Ravens,Ravens -156
Patriots,Bills,Bills -720
Falcons,Bears,Bears -156
Titans,Texans,Texans -230
Raiders,Colts,Colts -174
Rams,Giants,Giants +215
49ers,Commanders,Commanders +610
Panthers,Jaguars,Jaguars -370
Cardinals,Eagles,Eagles -500
Saints,Buccaneers,Buccaneers -134
Steelers,Seahawks,Seahawks -200
Bengals,Chiefs,Chiefs -290
Chargers,Broncos,Broncos -280
Packers,Vikings,Vikings -120
